id,currencyType,USDprice,BTCprice,moment_tstamp
155,USD,2226.23,0.00045,2017-05-28+05:25:58
156,USD,2225.66,0.00045,2017-05-28+05:27:17
157,USD,2227.24,0.00045,2017-05-28+05:28:17
158,USD,2227.26,0.00045,2017-05-28+05:29:17
159,USD,2227.05,0.00045,2017-05-28+05:30:17
160,USD,2227.62,0.00045,2017-05-28+05:31:17
161,USD,2225.56,0.00045,2017-05-28+05:32:17
162,USD,2230.21,0.00045,2017-05-28+05:34:36
163,USD,2230.36,0.00045,2017-05-28+05:35:36
164,USD,2232.87,0.00045,2017-05-28+05:36:36
165,USD,2235.83,0.00045,2017-05-28+05:37:55
166,USD,2237.58,0.00045,2017-05-28+05:38:55
167,USD,2236.03,0.00045,2017-05-28+05:39:55
168,USD,2235.62,0.00045,2017-05-28+05:40:55
169,USD,2234.15,0.00045,2017-05-28+05:41:56
170,USD,2235.81,0.00045,2017-05-28+05:42:55
171,USD,2234.89,0.00045,2017-05-28+05:43:56
172,USD,2233.52,0.00045,2017-05-28+05:44:55
173,USD,2234.30,0.00045,2017-05-28+05:45:55
174,USD,2234.53,0.00045,2017-05-28+05:46:55
175,USD,2235.40,0.00045,2017-05-28+05:47:55
176,USD,2236.23,0.00045,2017-05-28+05:48:55
177,USD,2235.22,0.00045,2017-05-28+05:49:55
178,USD,2234.82,0.00045,2017-05-28+05:50:55
179,USD,2236.10,0.00045,2017-05-28+05:51:55
180,USD,2236.14,0.00045,2017-05-28+05:52:55
181,USD,2236.42,0.00045,2017-05-28+05:53:55
182,USD,2236.44,0.00045,2017-05-28+05:54:55
183,USD,2236.18,0.00045,2017-05-28+05:55:55
184,USD,2235.07,0.00045,2017-05-28+05:56:55
185,USD,2234.78,0.00045,2017-05-28+05:57:55
186,USD,2236.48,0.00045,2017-05-28+05:58:55
187,USD,2236.90,0.00045,2017-05-28+05:59:56
188,USD,2238.07,0.00045,2017-05-28+06:00:55
189,USD,2239.22,0.00045,2017-05-28+06:01:55
190,USD,2242.14,0.00045,2017-05-28+06:02:55
191,USD,2243.48,0.00045,2017-05-28+06:03:56
192,USD,2244.69,0.00045,2017-05-28+06:04:57
193,USD,2245.31,0.00045,2017-05-28+06:05:55
194,USD,2245.58,0.00045,2017-05-28+06:06:55
195,USD,2245.56,0.00045,2017-05-28+06:07:55
196,USD,2246.34,0.00045,2017-05-28+06:08:55
197,USD,2245.09,0.00045,2017-05-28+06:09:55
198,USD,2245.04,0.00045,2017-05-28+06:10:56
199,USD,2245.68,0.00045,2017-05-28+06:11:56
200,USD,2245.19,0.00045,2017-05-28+06:12:55
201,USD,2247.88,0.00044,2017-05-28+06:13:55
202,USD,2250.81,0.00044,2017-05-28+06:14:55
203,USD,2253.20,0.00044,2017-05-28+06:15:55
204,USD,2257.84,0.00044,2017-05-28+06:16:55
205,USD,2259.13,0.00044,2017-05-28+06:17:56
206,USD,2259.42,0.00044,2017-05-28+06:18:56
